iter	Passed	Remaining
612	4893	3089
613	4909	3086
614	4918	3078
615	4923	3069
616	4936	3064
617	4944	3056
618	4949	3046
619	4957	3038
620	4963	3029
621	4969	3020
622	4976	3011
623	4983	3002
624	4991	2994
625	4999	2987
626	5006	2978
627	5022	2975
628	5029	2966
629	5035	2957
630	5042	2948
631	5046	2938
632	5056	2931
633	5063	2923
634	5073	2916
635	5082	2908
636	5090	2900
637	5095	2890
638	5098	2880
639	5108	2873
640	5115	2865
641	5125	2858
642	5134	2850
643	5138	2840
644	5145	2832
645	5150	2822
646	5152	2811
647	5160	2803
648	5167	2794
649	5173	2785
650	5183	2778
651	5192	2771
652	5197	2761
653	5199	2750
654	5206	2742
655	5209	2731
656	5215	2722
657	5220	661	5658	5223	662	5659	5230	663	5660	5240	664	5661	5252	2681
662	5261	2674
663	5269	2666
664	5275	668	5665	5289	2652
666	5297	2644
667	5305	2636
668	5310	2627
669	5317	2619
670	5323	2610
671	5327	2600
672	5332	2590
673	5337	677	5674	5343	678	5675	5351	679	5676	5359	680	5390	2524
681	5678	5371	682	5679	5379	683	5680	5388	684	5681	5393	2514
682	5398	2505
683	5409	2499
684	5415	2490
685	5423	2482
686	5428	690	5687	5434	691	5462	2431
692	5471	2423
693	5481	2417
694	5493	2410
695	5499	2402
696	5507	2394
697	5515	2386
698	5694	5513	699	5695	5531	700	5559	2371
701	5568	2363
702	5573	2354
703	5578	2345
704	5594	2340
705	5602	2332
706	5605	2322
707	5616	2316
708	5622	2307
709	5628	2299
710	5635	2290
711	5642	2282
712	5650	2274
713	5657	2266
714	5660	2256
715	5664	2246
716	5671	2238
717	5676	2229
718	5683	2221
719	5686	2211
720	5695	2203
721	5704	2196
722	5710	2187
723	5713	2178
724	5720	2169
725	5725	2160
726	5730	2152
727	5737	2143
728	5744	2135
729	5753	2128
730	5762	2120
731	5767	2111
732	5773	2102
733	5780	2094
734	5787	2086
735	5793	2078
736	5802	2070
737	5806	2061
738	5812	2052
739	5819	2044
740	5823	2035
741	5828	2026
742	5834	2018
743	5839	2009
744	5844	2000
745	5848	1991
746	5856	1983
747	5864	1975
748	5869	1966
749	5872	1957
750	5881	1950
751	5889	1942
752	5895	1933
753	5901	1925
754	5905	1916
755	5913	1908
756	5919	1900
757	5926	1892
758	5930	1883
759	5935	1874
760	5940	1865
761	5945	1856
762	5948	1847
763	5952	1838
